day,focos
2019-01-01,184
2019-01-02,613
2019-01-03,335
2019-01-04,1010
2019-01-05,359
2019-01-06,487
2019-01-07,163
2019-01-08,129
2019-01-09,286
2019-01-10,199
2019-01-11,452
2019-01-12,116
2019-01-13,520
2019-01-14,250
2019-01-15,486
2019-01-16,271
2019-01-17,380
2019-01-18,306
2019-01-19,160
2019-01-20,618
2019-01-21,254
2019-01-22,634
2019-01-23,500
2019-01-24,447
2019-01-25,439
2019-01-26,487
2019-01-27,559
2019-01-28,224
2019-01-29,517
2019-01-30,329
2019-01-31,743
2019-02-01,630
2019-02-02,325
2019-02-03,467
2019-02-04,340
2019-02-05,492
2019-02-06,301
2019-02-07,743
2019-02-08,448
2019-02-09,680
2019-02-10,742
2019-02-11,529
2019-02-12,1071
2019-02-13,290
2019-02-14,403
2019-02-15,644
2019-02-16,440
2019-02-17,445
2019-02-18,300
2019-02-19,545
2019-02-20,287
2019-02-21,837
2019-02-22,364
2019-02-23,967
2019-02-24,1297
2019-02-25,710
2019-02-26,1658
2019-02-27,637
2019-02-28,1292
2019-03-01,542
2019-03-02,678
2019-03-03,369
2019-03-04,903
2019-03-05,503
2019-03-06,393
2019-03-07,549
2019-03-08,481
2019-03-09,714
2019-03-10,345
2019-03-11,341
2019-03-12,467
2019-03-13,424
2019-03-14,633
2019-03-15,429
2019-03-16,911
2019-03-17,381
2019-03-18,1186
2019-03-19,471
2019-03-20,1042
2019-03-21,483
2019-03-22,783
2019-03-23,956
2019-03-24,566
2019-03-25,1171
2019-03-26,689
2019-03-27,1392
2019-03-28,422
2019-03-29,495
2019-03-30,330
2019-03-31,513
2019-04-01,722
2019-04-02,590
2019-04-03,885
2019-04-04,705
2019-04-05,1003
2019-04-06,1473
2019-04-07,612
2019-04-08,591
2019-04-09,323
2019-04-10,940
2019-04-11,262
2019-04-12,583
2019-04-13,232
2019-04-14,405
2019-04-15,153
2019-04-16,229
2019-04-17,181
2019-04-18,236
2019-04-19,179
2019-04-20,145
2019-04-21,330
2019-04-22,98
2019-04-23,331
2019-04-24,206
2019-04-25,201
2019-04-26,194
2019-04-27,194
2019-04-28,358
2019-04-29,273
2019-04-30,477
2019-05-01,405
2019-05-02,111
2019-05-03,227
2019-05-04,54
2019-05-05,139
2019-05-06,172
2019-05-07,166
2019-05-08,121
2019-05-09,238
2019-05-10,183
2019-05-11,208
2019-05-12,66
2019-05-13,177
2019-05-14,311
2019-05-15,192
2019-05-16,260
2019-05-17,220
2019-05-18,213
2019-05-19,136
2019-05-20,229
2019-05-21,144
2019-05-22,293
2019-05-23,182
2019-05-24,146
2019-05-25,152
2019-05-26,183
2019-05-27,242
2019-05-28,205
2019-05-29,337
2019-05-30,224
2019-05-31,227
2019-06-01,163
2019-06-02,109
2019-06-03,161
2019-06-04,283
2019-06-05,346
2019-06-06,439
2019-06-07,337
2019-06-08,188
2019-06-09,206
2019-06-10,285
2019-06-11,274
2019-06-12,355
2019-06-13,482
2019-06-14,410
2019-06-15,336
2019-06-16,315
2019-06-17,492
2019-06-18,253
2019-06-19,287
2019-06-20,467
2019-06-21,580
2019-06-22,575
2019-06-23,506
2019-06-24,813
2019-06-25,541
2019-06-26,341
2019-06-27,507
2019-06-28,467
2019-06-29,508
2019-06-30,382
2019-07-01,34
2019-07-02,559
2019-07-03,270
2019-07-04,502
2019-07-05,311
2019-07-06,415
2019-07-07,294
2019-07-08,985
2019-07-09,570
2019-07-10,1151
2019-07-11,938
2019-07-12,1132
2019-07-13,531
2019-07-14,531
2019-07-15,651
2019-07-16,636
2019-07-17,934
2019-07-18,677
2019-07-19,443
2019-07-20,749
2019-07-21,549
2019-07-22,705
2019-07-23,732
2019-07-24,560
2019-07-25,721
2019-07-26,872
2019-07-27,1125
2019-07-28,909
2019-07-29,1078
2019-07-30,976
2019-07-31,1997
2019-08-01,2272
2019-08-02,1728
2019-08-03,2297
2019-08-04,2484
2019-08-05,3075
2019-08-06,2759
2019-08-07,3125
2019-08-08,2358
2019-08-09,1993
2019-08-10,2612
2019-08-11,3810
2019-08-12,3119
2019-08-13,3977
2019-08-14,5032
2019-08-15,3263
2019-08-16,4747
